Year,BurnFreq,Watershed,Plot,Rep,Grass,Forb,Woody,Pdead,Comments
2024,1,1D,A1,1,187.71,0,0,23.22,
2024,1,1D,A1,2,8.33,0.02,0,45.29,
2024,1,1D,A2,1,54.1,0,0,108.48,
2024,1,1D,A2,2,47.3,4.5,0,58.46,
2024,1,1D,A3,1,88.99,0,0,67.34,
2024,1,1D,A3,2,150.08,0,0,53.08,
2024,1,1D,A4,1,50.84,0,0,0,
2024,1,1D,A4,2,72.52,2.03,0,0.93,
2024,1,1D,A5,1,37.47,2.58,0,0,
2024,1,1D,A5,2,45.29,2.62,0,0,
2024,1,1D,A6,1,16.6,0,0,0,
2024,1,1D,A6,2,35.85,0,0,0,
2024,1,1D,B1,1,24.07,1.28,3.89,62.71,
2024,1,1D,B1,2,154.94,0,0,27.19,
2024,1,1D,B2,1,38.64,0,0,69.36,
2024,1,1D,B2,2,44.52,0,0,71.11,
2024,1,1D,B3,1,16.7,0,0,39.99,
2024,1,1D,B3,2,21.7,1.79,0,87.13,
2024,1,1D,B4,1,103.55,0,0,0,
2024,1,1D,B4,2,56.74,0.13,0,2.88,
2024,1,1D,B5,1,75.88,0,0,0,
2024,1,1D,B5,2,82.7,0,0,0,
2024,1,1D,B6,1,21.29,0.02,0,0,
2024,1,1D,B6,2,33.63,0,0,0,
2024,1,1D,C1,1,68.6,0,0,0,
2024,1,1D,C1,2,86.62,0.32,0,0,
2024,1,1D,C2,1,41.22,3.29,0,0,
2024,1,1D,C2,2,37.23,0,0,0,
2024,1,1D,C3,1,23.68,0.3,0.1,0,
2024,1,1D,C3,2,15.81,0,0,2.73,
2024,1,1D,C4,1,110.07,0,0,68.39,
2024,1,1D,C4,2,135.9,0,0,71.51,
2024,1,1D,C5,1,88.97,0,0,36.53,
2024,1,1D,C5,2,45.56,0,0,82.61,
2024,1,1D,C6,1,36.36,1.62,1.13,33.46,
2024,1,1D,C6,2,23.73,0.08,0,66.32,
2024,1,SpB,D1,1,13.5,0,0,113.96,
2024,1,SpB,D1,2,65.15,0,0,111.88,
2024,1,SpB,D2,1,4.97,0,0,111.37,
2024,1,SpB,D2,2,57.95,1.16,0,59.7,
2024,1,SpB,D3,1,22.02,5.43,0,114.11,
2024,1,SpB,D3,2,39.55,0.62,0,101.18,
2024,1,SpB,D4,1,35.58,0,0,0,
2024,1,SpB,D4,2,48.99,0,0,0,
2024,1,SpB,D5,1,65.25,0.34,0,47.77,
2024,1,SpB,D5,2,38.09,0,0,0,
2024,1,SpB,D6,1,101.99,1.36,0,0,
2024,1,SpB,D6,2,63.26,0,0,0,
2024,1,SpB,E1,1,4.69,0,0,104.91,
2024,1,SpB,E1,2,78.72,0,0,56.79,
2024,1,SpB,E2,1,38.55,0,0,109.24,
2024,1,SpB,E2,2,72.22,0,0,89.49,
2024,1,SpB,E3,1,21.93,0,0,107.1,
2024,1,SpB,E3,2,14.78,0,0,55.46,
2024,1,SpB,E4,1,13.4,0.81,0,1.1,
2024,1,SpB,E4,2,19.76,0.05,0,2.94,
2024,1,SpB,E5,1,51.51,0,0,7.96,
2024,1,SpB,E5,2,41.5,0,0,7.31,
2024,1,SpB,E6,1,78.02,0,0,0,
2024,1,SpB,E6,2,41.76,0,0,3.52,
2024,1,SpB,F1,1,97.08,0,0,58.72,
2024,1,SpB,F1,2,123.23,0,0,54.57,
2024,1,SpB,F2,1,4.68,0,0,47.33,
2024,1,SpB,F2,2,37.24,0,0,35.54,
2024,1,SpB,F3,1,19.64,0.39,0,96.6,
2024,1,SpB,F3,2,30.48,4.88,0,138,
2024,1,SpB,F4,1,56.11,0,0,0,
2024,1,SpB,F4,2,67.91,0,0,0,
2024,1,SpB,F5,1,38.94,0,0,0,
2024,1,SpB,F5,2,36.94,0,0,0,
2024,1,SpB,F6,1,34.54,0,0,0,
2024,1,SpB,F6,2,23.69,2.3,0,0,
2024,20,20C,A1,1,36.75,0.57,0,0,
2024,20,20C,A1,2,39.66,1.14,0,0,
2024,20,20C,A2,1,48.06,5.12,0,10.08,
2024,20,20C,A2,2,78.05,10.62,0,14.63,
2024,20,20C,A3,1,33.02,0.22,0.59,45.02,
2024,20,20C,A3,2,38.66,0.59,0,8.32,
2024,20,20C,A4,1,65.48,5.61,0,31.36,
2024,20,20C,A4,2,43.55,1.84,0,18.39,
2024,20,20C,A5,1,70.18,0.74,0,0,
2024,20,20C,A5,2,31.73,3.22,0,25.86,
2024,20,20C,A6,1,45.26,2.06,0.17,46.52,
2024,20,20C,A6,2,43.73,0,0,67.04,
2024,20,20C,B1,1,40.82,0,0,49.66,
2024,20,20C,B1,2,37.77,0,1.92,24.95,
2024,20,20C,B2,1,40.24,4.29,0,47.78,
2024,20,20C,B2,2,22.33,6.44,0,61.45,
2024,20,20C,B3,1,112.12,44.73,0,0,
2024,20,20C,B3,2,58.2,18.28,0,0,
2024,20,20C,B4,1,39.93,4.26,0,5.46,
2024,20,20C,B4,2,41.62,0,0.28,19.52,
2024,20,20C,B5,1,55.02,1.05,0,6.76,
2024,20,20C,B5,2,47.88,0,0,7.65,
2024,20,20C,B6,1,73.46,0,0,0,
2024,20,20C,B6,2,84.42,11.14,0,0,
2024,20,20C,C1,1,53.91,0.37,0,7.36,
2024,20,20C,C1,2,69.35,0,0,0,
2024,20,20C,C2,1,43.63,0,0,24.08,
2024,20,20C,C2,2,54.14,3.05,0,7.68,
2024,20,20C,C3,1,65.5,0,0,0,
2017,20,20C,C3,2,33.57,1.47,0,10.7,
2024,20,20C,C4,1,31.62,7.79,0,12.04,
2024,20,20C,C4,2,40.78,0,0,15.45,
2024,20,20C,C5,1,33.33,2.64,0,28.69,
2024,20,20C,C5,2,31.68,2.62,0,68.74,
2024,20,20C,C6,1,34.9,6.63,0,15.34,
2024,20,20C,C6,2,23.85,1.32,0,11.97,
2024,20,20B,D1,1,75.35,1.95,0,16.96,
2024,20,20B,D1,2,48.9,1.41,0,83.33,
2024,20,20B,D2,1,34.26,8.69,0,10.62,
2024,20,20B,D2,2,28.52,11.53,0,8.11,
2024,20,20B,D3,1,28.1,22.78,0,7.53,
2024,20,20B,D3,2,21.19,1.77,0,0,
2024,20,20B,D4,1,52.35,1.4,0,7.43,
2024,20,20B,D4,2,56.13,11.09,0,29.51,
2024,20,20B,D5,1,37.11,2.99,0,21.64,
2024,20,20B,D5,2,67.19,2.71,0,0,
2024,20,20B,D6,1,63.75,7.11,0,0,
2024,20,20B,D6,2,30.58,2.16,0,10.16,
2024,20,20B,E1,1,18.94,6.17,0,18.29,
2024,20,20B,E1,2,13.78,0.63,0,18.94,
2024,20,20B,E2,1,85.36,0,0,0,
2024,20,20B,E2,2,87.01,0,0,0,
2024,20,20B,E3,1,32.89,1.03,0,38.77,
2024,20,20B,E3,2,48.85,0.74,1.3,11.22,
2024,20,20B,E4,1,21.02,3.63,0,17.16,
2024,20,20B,E4,2,57.54,1.7,0,11.98,
2024,20,20B,E5,1,35.85,6.83,0,55.49,
2024,20,20B,E5,2,24.23,3.79,0,29.88,
2024,20,20B,E6,1,33.63,0,0,47.31,
2024,20,20B,E6,2,35.53,8.93,0,23.18,
2024,20,20B,F1,1,14.14,8.26,0,11.48,
2024,20,20B,F1,2,15.31,1.02,0,69.43,
2024,20,20B,F2,1,29.39,1.47,0,21.97,
2024,20,20B,F2,2,54.13,1.67,0,24.14,
2024,20,20B,F3,1,36.73,2.44,0,14.21,
2024,20,20B,F3,2,39.55,5.35,0,15.87,
2024,20,20B,F4,1,29.41,3.88,0,10.46,
2024,20,20B,F4,2,41.05,0.89,0,14.4,
2024,20,20B,F5,1,40.24,0.11,0,29.56,
2024,20,20B,F5,2,33.42,0,0,39.92,
2024,20,20B,F6,1,44.32,1.06,0,15.07,
2024,20,20B,F6,2,18.47,0,0,21.25,
,,,,,,,,,
