Year,Experiment,Site,Burn Trt,Watershed,Block,Plot,spnum,June,August,Comments
2024,Ghost Fire,Konza,Annual,1D,A,1,2,,20,
2024,Ghost Fire,Konza,Annual,1D,A,1,3,,15,
2024,Ghost Fire,Konza,Annual,1D,A,1,4,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,5,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,14,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,11,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,12,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,15,,40,
2024,Ghost Fire,Konza,Annual,1D,A,1,17,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,18,,50,
2024,Ghost Fire,Konza,Annual,1D,A,1,21,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,23,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,34,2,1,
2024,Ghost Fire,Konza,Annual,1D,A,1,33,1,,
2024,Ghost Fire,Konza,Annual,1D,A,1,165,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,46,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,40,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,56,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,55,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,58,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,59,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,60,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,66,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,70,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,106,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,300,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,86,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,90,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,143,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,102,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,111,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,117,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,234,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,42,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,120,8,30,
2024,Ghost Fire,Konza,Annual,1D,A,1,121,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,125,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,127,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,128,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,130,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,140,,,
2024,Ghost Fire,Konza,Annual,1D,A,1,147,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,2,,30,
2024,Ghost Fire,Konza,Annual,1D,A,2,3,,8,
2024,Ghost Fire,Konza,Annual,1D,A,2,4,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,5,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,14,2,3,
2024,Ghost Fire,Konza,Annual,1D,A,2,11,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,12,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,15,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,17,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,18,,45,
2024,Ghost Fire,Konza,Annual,1D,A,2,21,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,23,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,34,1,2,
2024,Ghost Fire,Konza,Annual,1D,A,2,33,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,165,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,46,,7,
2024,Ghost Fire,Konza,Annual,1D,A,2,40,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,56,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,55,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,58,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,59,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,60,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,66,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,70,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,106,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,300,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,86,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,90,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,143,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,102,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,111,5,7,
2024,Ghost Fire,Konza,Annual,1D,A,2,117,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,234,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,42,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,120,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,121,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,125,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,127,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,128,,6,
2024,Ghost Fire,Konza,Annual,1D,A,2,130,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,140,,,
2024,Ghost Fire,Konza,Annual,1D,A,2,147,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,2,,20,
2024,Ghost Fire,Konza,Annual,1D,A,3,3,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,4,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,5,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,14,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,11,,2,
2024,Ghost Fire,Konza,Annual,1D,A,3,12,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,15,,50,
2024,Ghost Fire,Konza,Annual,1D,A,3,17,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,18,,1,
2024,Ghost Fire,Konza,Annual,1D,A,3,21,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,23,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,34,,1,
2024,Ghost Fire,Konza,Annual,1D,A,3,33,,,
2024,Ghost Fire,Konza,Annual,1D,A,3,165,,,
