order,family,eco_functional_group
hemiptera,acanthosomatidae,herbivore
orthoptera,acrididae,herbivore
thysanoptera,aeolothripidae,predator
araneae,anyphaenidae,predator
hemiptera,aphididae,herbivore
araneae,araneidae,predator
hymenoptera,bethylidae,parasitoid
hemiptera,blissidae,herbivore
hymenoptera,braconidae,parasitoid
coleoptera,byrrhidae,herbivore
hemiptera,caliscelidae,herbivore
diptera,cecidomyiidae,herbivore
hymenoptera,cephidae,herbivore 
hymenoptera,chalcididae,parasitoid
diptera,chamaemyiidae,predator
diptera,chironomidae,omnivore
diptera,chloropidae,herbivore
hymenoptera,chrysididae,herbivore
coleoptera,chrysomelidae,herbivore
hemiptera,cicadellidae,herbivore
hemiptera,cicadidae,herbivore
hemiptera,cixiidae,polyphagous
araneae,clubionidae,predator
hemiptera,coccidae,herbivore
coleoptera,coccinellidae,predator
coleoptera,colydiinae,fungivore
lepidoptera,crambidae,herbivore
diptera,culicidae,parasite
coleoptera,curculionidae,herbivore
hymenoptera,cynipoidae,parasitoid
hemiptera,delphacidae,herbivore
coleoptera,dermestidae,detritivore
hemiptera,dictyopharidae,herbivore
diptera,dolichopodidae,predator
hymenoptera,dryinidae,parasitoid
hymenoptera,encrytidae,parasitoid
collemba,entomobryidae,fungivore
lepidoptera,erebidae,pollinator
hymenoptera,eulophidae,predator
hymenoptera,eupelmidae,parasitoid
hymenoptera,eurytomidae,parasitoid
dermaptera,forficulidae,omnivore
hymenoptera,formicidae,omnivore
lepidoptera,geometridae,pollinator
hymenoptera,halictidae,pollinator/nectar feeding
phasmatodea,heteronemiidae,herbivore
hymenoptera,ichneumonidae,parasitoid
ixodida,ixodidae,parasite
araneae,linyphiidae,predator
araneae,lycosidae,predator
hemiptera,lygaeidae,herbivore
mantodea,mantidae,predator
hemiptera,membracidae,herbivore
hemiptera,mesoveliidae,predator
hemiptera,miridae,herbivore
coleoptera,mordellidae,pollinator
hymenoptera,mymaridae,parasitoid
araneae,oribatida,detritivore
hymenoptera,orussidae,parasitoid
araneae,oxyopidae,predator
hemiptera,pentatomidae,herbivore
hymenoptera,pergidae,herbivore
hymenoptera,philodromidae,predator
diptera,phoridae,other
phasmatodea,phylliidae,herbivore
diptera,pipunculidae,parasitoid
hymenoptera,platygastridae,parasitoid
diptera,pleidae,predator
hymenoptera,pompilidae,herbivore
hymenoptera,proctotrupidae,parasitoid
hemiptera,pseudococcidae,herbivore
diptera,psilidae,herbivore
diptera,psychodidae,pollinator
hemiptera,reduviidae,predator
diptera,rhagonidae,predator
araneae,salticidae,predator
diptera,scathophagidae,predator
diptera,simuliidae,parasite
collemba,sminthuridae,detritivore
diptera,tachinidae,parasitoid
diptera,tephritidae,herbivore
orthoptera,tettigoniidae,herbivore
diptera,thaumaleidae,predator
araneae,thomisidae,predator
thysanoptera,thripidae,herbivore
hemiptera,tingidae,herbivore
hymenoptera,trichogrammatidae,predator
trombidiformes,trombiculidae,parasite
acari,trombidiidae,parasite
hemiptera,acanaloniidae,herbivore
hemiptera,achilidae,herbivore
diptera,asilidae,predator
coleoptera,cantharidae,pollinator/nectar feeding
hymenoptera,ceraphronidae,parasitoid
hemiptera,cercopidae,herbivore
diptera,chamaemyiidae,predator
hymenoptera,chrysididae,parasite
diptera,clusiidae,polyphagous
hymenoptera,crabronidae,predator
hemiptera,derbidae,fungivore
phasmatodea,diapheromeridae,herbivore
diptera,diastatidae,polyphagous
diptera,drosophilidae,detritivore
diptera,dryomyzidae,detritivore
coleoptera,elateridae,predator
hemiptera,fulgoridae,herbivore
hemiptera,geocoridae,predator
orthoptera,gryllidae,omnivore
acari,hygrobatidae,parasite
hemiptera,kinnaridae,herbivore
coleoptera,lampyridae,predator
coleoptera,latridiidae,fungivore
diptera,lauxaniidae,pollinator
coleoptera,meloidae,herbivore
diptera,muscidae,polyphagous
hemiptera,nabidae,predator
hemiptera,phymatidae,predator
hemiptera,rhopalidae,herbivore
hemiptera,rhyparochromidae,herbivore
diptera,scatopsidae,detritivore
diptera,scenopinidae,polyphagous
diptera,sepsidae,detritivore
diptera,sphaeroceridae,detritivore
coleoptera,staphylinidae,predator
diptera,stratiomyidae,detritivore
diptera,syrphidae,predator
hymenoptera,tenthredinidae,herbivore
acari,tetranychidae,herbivore
araneae,theridiidae,predator
hymenoptera,thynnidae,parasitoid
diptera,tipulidae,herbivore
diptera,ulidiidae,detritivore
hymenoptera,vespidae,polyphagous
