year,month,burn_trt,watershed,block,plot,order,family,arthropod_ID,stage,collected,count
2014,8,Unburned,20C,A,1,Hemiptera:Heteroptera,Reduviidae,Hemiptera:Heteroptera_Reduviidae,nymph,collected,1
2014,8,Unburned,20C,A,1,Diptera,Tephritidae,Diptera_Tephritidae,adult,collected,1
2014,8,Unburned,20C,A,1,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,5
2014,8,Unburned,20C,A,1,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,1
2014,8,Unburned,20C,A,1,Diptera,Cecidomyiidae,Diptera_Cecidomyiidae,adult,collected,10
2014,8,Unburned,20C,A,1,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,2
2014,8,Unburned,20C,A,1,Hymenoptera,Mymaridae,Hymenoptera_Mymaridae,adult,collected,1
2014,8,Unburned,20C,A,1,Hymenoptera,Eupelmidae,Hymenoptera_Eupelmidae,adult,collected,3
2014,8,Unburned,20C,A,1,Araneae,Salticidae,Araneae_Salticidae,adult,collected,3
2014,8,Unburned,20C,A,1,Araneae,Philodromidae,Araneae_Philodromidae,adult,collected,2
2014,8,Unburned,20C,A,1,Acari,Acari,Acari_Acari,adult,collected,1
2014,8,Unburned,20C,A,2,Orthoptera,Tettigonidae,Orthoptera_Tettigonidae,adult,observed,1
2014,8,Unburned,20C,A,2,Araneae,Araneidae,Araneae_Araneidae,adult,collected,1
2014,8,Unburned,20C,A,2,Araneae,Salticidae,Araneae_Salticidae,adult,collected,6
2014,8,Unburned,20C,A,2,Hemiptera:Sternorrhyncha,Aphididae,Hemiptera:Sternorrhyncha_Aphididae,adult,collected,3
2014,8,Unburned,20C,A,2,Hemiptera:Heteroptera,Tingidae,Hemiptera:Heteroptera_Tingidae,adult,collected,2
2014,8,Unburned,20C,A,2,Thysanoptera,Thripidae,Thysanoptera_Thripidae,adult,collected,1
2014,8,Unburned,20C,A,2,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,nymph,collected,1
2014,8,Unburned,20C,A,2,Hemiptera:Auchenorrhyncha,Cicadellidae,Hemiptera:Auchenorrhyncha_Cicadellidae,adult,collected,2
2014,8,Unburned,20C,A,2,Hymenoptera,Eulophidae,Hymenoptera_Eulophidae,adult,collected,2
2014,8,Unburned,20C,A,2,Hymenoptera,Eupelmidae,Hymenoptera_Eupelmidae,adult,collected,1
