year,month,burn_trt,watershed,block,plot,order,family,arthropod_ID,stage,collected,count,plot_trt,litter_trt
2019,8,Unburned,20C,C,4,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,2,N,Present
2019,8,Unburned,20C,C,4,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Nymph,Collected,3,N,Present
2019,8,Unburned,20C,C,4,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,N,Present
2019,8,Unburned,20C,C,4,Hymenoptera,Braconidae,Hymenoptera_Braconidae,Adult,Collected,2,N,Present
2019,8,Unburned,20C,C,4,Coleoptera,Byrrhidae,Coleoptera_Byrrhidae,Adult,Collected,3,N,Present
2019,8,Unburned,20C,C,4,Hymenoptera,Chalcodoidae,Hymenoptera_Chalcodoidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,C,4,Hemiptera,Caliscelidae,Hemiptera_Cicadellidae,Nymph,Collected,1,N,Present
2019,8,Unburned,20C,C,4,Diptera,Rhagonidae,Diptera_Rhagonidae,Adult,Collected,1,N,Present
2019,8,Unburned,20C,C,4,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,N,Present
2019,8,Unburned,20C,C,6,Hemiptera,Membracidae,Hemiptera_Membracidae,Nymph,Collected,2,C,Present
2019,8,Unburned,20C,C,6,Lepidoptera,Unknown,Lepidoptera_Unknown,Nymph,Collected,1,C,Present
2019,8,Unburned,20C,C,6,Coleoptera,Byrrhidae,Coleoptera_Byrrhidae,Adult,Collected,5,C,Present
2019,8,Unburned,20C,C,6,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,2,C,Present
2019,8,Unburned,20C,C,6,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,C,6,Hemiptera,Reduviidae,Hemiptera_Reduviidae,Adult,Collected,1,C,Present
2019,8,Unburned,20C,C,2,Hemiptera,Caliscelidae,Hemiptera_Caliscelidae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,C,2,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,13,Control,Absent
2019,8,Unburned,20C,C,2,Coleoptera,Colydiinae,Coleoptera_Colydiinae,Adult,Collected,1,Control,Absent
2019,8,Unburned,20C,C,2,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Collected,1,Control,Absent
