year,month,burn_trt,watershed,block,plot,order,family,arthropod_ID,stage,collected,count,litter_trt,plot_trt
2024,8,Unburned,20B,E,2,Hemiptera,Cicadellidae,Hemiptera_Cicadellidae,Adult,Collected,6,absent,control
2024,8,Unburned,20B,E,2,Hymenoptera,Chrysididae,Hymenoptera_Chrysididae,Adult,Collected,1,absent,control
2024,8,Unburned,20B,E,2,Acari,Tetranychidae,Acari_Tetranychidae,Adult,Collected,2,absent,control
2024,8,Unburned,20B,E,2,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Observed,1,absent,control
2024,8,Unburned,20B,E,2,Orthoptera,Acrididae,Orthoptera_Acrididae,Adult,Collected,5,absent,control
2024,8,Unburned,20B,E,2,Hemiptera,Dictyopharidae,Hemiptera_Dictyopharidae,Adult,Collected,2,absent,control
2024,8,Unburned,20B,E,2,Hemiptera,Unknown,Hemiptera_Unknown,Adult,Collected,2,absent,control
2024,8,Unburned,20B,E,2,Araneae,Salticidae,Araneae_Salticidae,Adult,Collected,1,absent,control
2024,8,Unburned,20B,E,2,Coleoptera,Chrysomelidae,Coleoptera_Chrysomelidae,Adult,Collected,1,absent,control
2024,8,Unburned,20B,E,2,Orthoptera,Tettigoniidae,Orthoptera_Tettigoniidae,Adult,Collected,1,absent,control
2024,8,Unburned,20B,E,2,Hymenoptera,Bethylidae,Hymenoptera_Bethylidae,Adult,Collected,2,absent,control
2024,8,Unburned,20B,E,2,Hymenoptera,Unknown,Hymenoptera_Unknown,Adult,Collected,1,absent,control
2024,8,Unburned,20B,E,2,Diptera,Culicidae,Diptera_Culicidae,Adult,Collected,2,absent,control
2024,8,Unburned,20B,E,2,Hemiptera,Aphididae,Hemiptera_Aphididae,Adult,Collected,5,absent,control
2024,8,Unburned,20B,E,2,Hymenoptera,Formicidae,Hymenoptera_Formicidae,Adult,Collected,3,absent,control
2024,8,Unburned,20B,E,2,Araneae,Thomisidae,Araneae_Thomisidae,Adult,Collected,2,absent,control
2024,8,Unburned,20B,E,2,Araneae,Thomisidae,Araneae_Thomisidae,Nymph,Collected,1,absent,control
