"","year","burn_trt","Watershed","block","plot","live_biomass","litter_biomass","experiment","site","plant_richness"
"1",2014,"Annual","1D","A",1,2934,0,"Ghost Fire","Konza",11
"2",2014,"Annual","1D","A",2,3051,0,"Ghost Fire","Konza",12
"3",2014,"Annual","1D","A",3,3050.5,0,"Ghost Fire","Konza",14
"4",2014,"Annual","1D","A",4,2459.5,0,"Ghost Fire","Konza",10
"5",2014,"Annual","1D","A",5,3117.5,0,"Ghost Fire","Konza",12
"6",2014,"Annual","1D","A",6,2566.5,0,"Ghost Fire","Konza",15
"7",2014,"Annual","1D","B",1,3689.5,0,"Ghost Fire","Konza",12
"8",2014,"Annual","1D","B",2,2950.5,0,"Ghost Fire","Konza",15
"9",2014,"Annual","1D","B",3,2694,0,"Ghost Fire","Konza",12
"10",2014,"Annual","1D","B",4,3273.5,0,"Ghost Fire","Konza",11
"11",2014,"Annual","1D","B",5,2798,0,"Ghost Fire","Konza",13
"12",2014,"Annual","1D","B",6,3210,0,"Ghost Fire","Konza",12
"13",2014,"Annual","1D","C",1,2060.5,0,"Ghost Fire","Konza",16
"14",2014,"Annual","1D","C",2,3059.5,0,"Ghost Fire","Konza",17
"15",2014,"Annual","1D","C",3,2403,0,"Ghost Fire","Konza",16
"16",2014,"Annual","1D","C",4,2620,0,"Ghost Fire","Konza",13
"17",2014,"Annual","1D","C",5,3595,0,"Ghost Fire","Konza",12
"18",2014,"Annual","1D","C",6,2363,0,"Ghost Fire","Konza",16
"19",2014,"Annual","SpB","D",1,4581.5,0,"Ghost Fire","Konza",11
"20",2014,"Annual","SpB","D",2,4212,0,"Ghost Fire","Konza",14
"21",2014,"Annual","SpB","D",3,4686.5,0,"Ghost Fire","Konza",8
"22",2014,"Annual","SpB","D",4,4108,0,"Ghost Fire","Konza",11
"23",2014,"Annual","SpB","D",5,4411,0,"Ghost Fire","Konza",10
"24",2014,"Annual","SpB","D",6,3173.5,0,"Ghost Fire","Konza",10
"25",2014,"Annual","SpB","E",1,3028,0,"Ghost Fire","Konza",7
"26",2014,"Annual","SpB","E",2,3624.5,0,"Ghost Fire","Konza",7
"27",2014,"Annual","SpB","E",3,3502,0,"Ghost Fire","Konza",10
"28",2014,"Annual","SpB","E",4,5011.5,0,"Ghost Fire","Konza",8
"29",2014,"Annual","SpB","E",5,3009.5,0,"Ghost Fire","Konza",8
"30",2014,"Annual","SpB","E",6,3768,0,"Ghost Fire","Konza",7
"31",2014,"Annual","SpB","F",1,2418.5,0,"Ghost Fire","Konza",7
"32",2014,"Annual","SpB","F",2,2817.5,0,"Ghost Fire","Konza",10
"33",2014,"Annual","SpB","F",3,3698.5,0,"Ghost Fire","Konza",8
"34",2014,"Annual","SpB","F",4,2759.5,0,"Ghost Fire","Konza",11
"35",2014,"Annual","SpB","F",5,2530.5,0,"Ghost Fire","Konza",13
"36",2014,"Annual","SpB","F",6,2958.5,0,"Ghost Fire","Konza",12
"37",2014,"Unburned","20B","D",1,5302.5,7574.5,"Ghost Fire","Konza",15
"38",2014,"Unburned","20B","D",2,3410.5,4370.5,"Ghost Fire","Konza",16
"39",2014,"Unburned","20B","D",3,3976.5,3559,"Ghost Fire","Konza",12
"40",2014,"Unburned","20B","D",4,4740,4980.5,"Ghost Fire","Konza",15
"41",2014,"Unburned","20B","D",5,2927.5,6353,"Ghost Fire","Konza",21
"42",2014,"Unburned","20B","D",6,6089,2521.5,"Ghost Fire","Konza",17
"43",2014,"Unburned","20B","E",1,3200.5,1462,"Ghost Fire","Konza",13
"44",2014,"Unburned","20B","E",2,3974.5,7469.5,"Ghost Fire","Konza",13
"45",2014,"Unburned","20B","E",3,3420.5,2719.5,"Ghost Fire","Konza",14
"46",2014,"Unburned","20B","E",4,3447,6079,"Ghost Fire","Konza",13
"47",2014,"Unburned","20B","E",5,6373.5,3604,"Ghost Fire","Konza",9
"48",2014,"Unburned","20B","E",6,4317.5,4811.5,"Ghost Fire","Konza",9
"49",2014,"Unburned","20B","F",1,5651.5,4187,"Ghost Fire","Konza",9
"50",2014,"Unburned","20B","F",2,5570.5,5360.5,"Ghost Fire","Konza",13
"51",2014,"Unburned","20B","F",3,3175.5,4193.5,"Ghost Fire","Konza",16
"52",2014,"Unburned","20B","F",4,4247.5,9465,"Ghost Fire","Konza",8
"53",2014,"Unburned","20B","F",5,3802,7211,"Ghost Fire","Konza",10
"54",2014,"Unburned","20B","F",6,2927,5063,"Ghost Fire","Konza",15
"55",2014,"Unburned","20C","A",1,4950.5,1705,"Ghost Fire","Konza",12
"56",2014,"Unburned","20C","A",2,3335.5,2954,"Ghost Fire","Konza",13
"57",2014,"Unburned","20C","A",3,5425.5,3170,"Ghost Fire","Konza",16
"58",2014,"Unburned","20C","A",4,2717,2227.5,"Ghost Fire","Konza",14
"59",2014,"Unburned","20C","A",5,5572.5,3305.5,"Ghost Fire","Konza",12
"60",2014,"Unburned","20C","A",6,4000.5,3131.5,"Ghost Fire","Konza",17
"61",2014,"Unburned","20C","B",1,4848.5,2336.5,"Ghost Fire","Konza",9
"62",2014,"Unburned","20C","B",2,4710.5,1911.5,"Ghost Fire","Konza",10
"63",2014,"Unburned","20C","B",3,3330,2782,"Ghost Fire","Konza",11
"64",2014,"Unburned","20C","B",4,4417,3671.5,"Ghost Fire","Konza",10
"65",2014,"Unburned","20C","B",5,4098.5,2760.5,"Ghost Fire","Konza",8
"66",2014,"Unburned","20C","B",6,3949,2967.5,"Ghost Fire","Konza",9
"67",2014,"Unburned","20C","C",1,4546,1562.5,"Ghost Fire","Konza",15
"68",2014,"Unburned","20C","C",2,3936,3145,"Ghost Fire","Konza",11
"69",2014,"Unburned","20C","C",3,3586.5,2501.5,"Ghost Fire","Konza",15
"70",2014,"Unburned","20C","C",4,3137,1706,"Ghost Fire","Konza",9
"71",2014,"Unburned","20C","C",5,2714.5,2179,"Ghost Fire","Konza",14
"72",2014,"Unburned","20C","C",6,4761.5,3381.5,"Ghost Fire","Konza",16
"73",2019,"Annual","20B","D",1,2749.5,5187.5,"Ghost Fire","Konza",6
"74",2019,"Annual","20B","D",2,4586,7550.5,"Ghost Fire","Konza",12
"75",2019,"Annual","20B","D",3,6209,10046.5,"Ghost Fire","Konza",7
"76",2019,"Annual","20B","D",4,4057.5,987.5,"Ghost Fire","Konza",8
"77",2019,"Annual","20B","D",5,5812.5,1403,"Ghost Fire","Konza",10
"78",2019,"Annual","20B","D",6,7347,4896,"Ghost Fire","Konza",10
